number,name,region,dong_id
307,라온PC방,대구광역시 동구 대림동,2
308,인타임PC방,대구광역시 수성구 시지동,6
309,데일리PC방(태전점),대구광역시 북구 태전동,5
310,볼륨업피씨방,대구광역시 북구 태전동,5
311,브리즈PC방,대구광역시 중구 동성로,1
312,로켓PC,대구광역시 달서구 송현동,3
313,돼지PC방,대구광역시 동구 방촌동,2
314,맥스피드PC만촌직영점,대구광역시 수성구 만촌동,6
315,하하PC,대구광역시 북구 태전동,5
316,Blessing PC(블레싱피씨방),대구광역시 달성군 화원읍,8
317,마카오PC,대구광역시 북구 태전동,5
318,티피씨,대구광역시 동구 효목동,2
319,트리플PC,대구광역시 달서구 본리동,3
320,에이스PC,대구광역시 서구 평리동,3
321,애드PC,대구광역시 달서구 상인동,3
322,라이또PC 방촌역점,대구광역시 동구 방촌동,2
323,비온(be'on)PC,대구광역시 북구 대현동,5
324,앤유피씨,대구광역시 중구 삼덕동,1
325,더캠프PC두산점,대구광역시 수성구 두산동,6
326,앤유(NU)PC,대구광역시 달성군 구지면,8
327,백프로PC,대구광역시 수성구 범어동,6
328,스타PC,대구광역시 달서구 대곡동,3
329,코바(KOVA)pc카페,대구광역시 달성군 유가읍,8
330,피타PC카페,대구광역시 동구 검사동,2
331,이노스페이스 파동점,대구광역시 수성구 파동,6
332,도깨비PC,대구광역시 달성군 구지면,8
333,볼륨업PC방,대구광역시 북구 산격동,5
334,백야PC,대구광역시 달서구 본리동,3
335,미르 PC,대구광역시 서구 내당동,3
336,히트게임존,대구광역시 중구 삼덕동,1
337,거북이PC,대구광역시 북구 대현동,5
338,넘버원PC,대구광역시 달서구 성당동,3
339,더헌터PC대구서재점,대구광역시 달성군 다사읍,8
340,고래PC,대구광역시 수성구 두산동,6
341,라이온 시티 PC,대구광역시 달성군 다사읍,8
342,더엑스PC율하점,대구광역시 동구 율하동,2
343,조커PC,대구광역시 달서구 송현동,3
344,앵두 PC,대구광역시 남구 대명동,4
345,이노스페이스앞산대명점,대구광역시 남구 대명동,4
346,앤유PC방성서계명대점2호점,대구광역시 달서구 신당동,3
347,비투PC,대구광역시 수성구 지산동,6
348,강남PC,대구광역시 서구 평리동,3
349,올스타즈PC방,대구광역시 북구 학정동,5
350,쓰리팝피씨방(경대점),대구광역시 북구 산격동,5
351,PC아트리움,대구광역시 달서구 호산동,3
352,이노스페이스 상동점,대구광역시 수성구 상동,6
353,앤유PC방 성서계명대점,대구광역시 달서구 신당동,3
354,오렌지PC,대구광역시 남구 봉덕동,4
355,맥스피드PC방,대구광역시 북구 동천동,5
356,꿀단지PC,대구광역시 서구 비산동,3
357,백프로PC,대구광역시 수성구 만촌동,6
358,빵빵PC,대구광역시 달서구 상인동,3
359,바로PC방,대구광역시 동구 대림동,2
360,욜로PC방(대구본점),대구광역시 달서구 신당동,3
361,플레이브이알,대구광역시 중구 삼덕동,1
362,도깨비피시방,대구광역시 서구 평리동,3
363,하트PC,대구광역시 달서구 본리동,3
364,앤유PC상인5호점,대구광역시 달서구 상인동,3
365,팽 피시카페(pc cafe) 상인점,대구광역시 달서구 상인동,3
366,도깨비 PC,대구광역시 달성군 화원읍,8
367,비휴PC,대구광역시 달서구 본리동,3
368,광대박PC방,대구광역시 동구 각산동,2
369,뉴그랜드,대구광역시 수성구 두산동,6
370,보물PC,대구광역시 동구 율하동,2
371,문(MOON) PC,대구광역시 달서구 도원동,3
372,대박PC,대구광역시 서구 평리동,3
373,제로100 PC,대구광역시 동구 봉무동,2
374,남부PC,대구광역시 남구 대명동,4
375,피에스타PC 대구범어점,대구광역시 수성구 범어동,6
376,헬로PC방,대구광역시 수성구 만촌동,6
377,RED 피씨,대구광역시 수성구 만촌동,6
378,돌고래PC,대구광역시 남구 봉덕동,4
379,메이드,대구광역시 수성구 수성동,6
380,광PC방,대구광역시 달성군 구지면,8
381,만조PC방,대구광역시 달성군 화원읍,8
382,팽피씨카페 평리점,대구광역시 서구 평리동,3
383,명당PC,대구광역시 동구 효목동,2
384,에그PC,대구광역시 서구 비산동,3
385,명당PC,대구광역시 동구 신천동,2
386,황금돼지PC K2점,대구광역시 동구 입석동,2
387,라비니PC방,대구광역시 수성구 파동,6
388,매타버스 스터디카페,대구광역시 중구 사일동,1
389,스타디움PC카페,대구광역시 수성구 신매동,6
390,위너PC,대구광역시 달서구 감삼동,3
391,먼스PC,대구광역시 달서구 감삼동,3
392,착한PC카페,대구광역시 북구 태전동,5
393,팬텀PC,대구광역시 달성군 다사읍,8
394,앤유(NU)PC송현점,대구광역시 달서구 송현동,3
395,아이비(IB) PC방,대구광역시 북구 관음동,5
396,에코피시방,대구광역시 달성군 다사읍,8
397,이노스페이스(불로점),대구광역시 동구 불로동,2
398,넘버원PC,대구광역시 달서구 본리동,3
399,강남PC,대구광역시 동구 신암동,2
400,더쿠PC방,대구광역시 북구 서변동,5
401,나는PC방이다,대구광역시 달성군 현풍면,8
402,이노스페이스 신평리점,대구광역시 서구 평리동,3
403,야놀자PC,대구광역시 북구 관음동,5
404,앤유PC옥포점,대구광역시 달성군 옥포읍,8
405,스타PC대구율하점,대구광역시 동구 율하동,2
406,리움PC,대구광역시 북구 사수동,5
407,짱PC,대구광역시 달성군 유가읍,8
408,이노PC,대구광역시 수성구 만촌동,6
409,호랭이PC,대구광역시 동구 각산동,2
410,달인PC,대구광역시 수성구 중동,6
411,앤유피시방 영남이공대점,대구광역시 남구 대명동,4
412,라라PC방,대구광역시 동구 효목동,2
413,스톤PC,대구광역시 동구 각산동,2
